Name ,Voltage,Conductivity,Temperature,AvgMemPotential,H2Flow,CurrentDensity,TransferCurrent,Faraday_H2_mol,Faraday_H2_kg,Efficiency,Voltage_loss,Resistivity_Index,J_norm,Resistivity_Index_norm,VL_norm,Degradation_index
DP 109,1.9629,11.237,329.14,0.98144956,4.01E-08,26297.942,7.684484,3.98E-05,8.03E-08,0.6112894187,0.763,0.08899172377,0.6721556951,0.1390772967,0.9269122948,0.5735879446
DP 110,1.6767,5.26,381.5,0.83834915,1.26E-08,8770.2673,2.4159594,1.25E-05,2.52E-08,0.715631896,0.4768,0.1901140684,0.2075524344,0.4997646676,0.3538245895,0.3501767582
DP 111,1.6784,10.331,380.12,0.83919894,2.09E-08,13945.929,3.9948597,2.07E-05,4.17E-08,0.7149070543,0.4785,0.09679605072,0.3447428686,0.1669140936,0.3572286744,0.2867322601
DP 112,1.9162,14.603,325.24,0.95809966,4.17E-08,27189.495,7.9841084,4.14E-05,8.34E-08,0.6261872456,0.7163,0.06847907964,0.6957879474,0.0659119473,0.8334000801,0.5263829917
DP 113,1.7145,11.028,377.96,0.85724888,2.50E-08,16562.974,4.7809852,2.48E-05,4.99E-08,0.6998541849,0.5146,0.09067827349,0.4141124605,0.1450929521,0.4295154185,0.3262778743
DP 114,1.8863,5.078,343.4,0.94314949,1.84E-08,12533.014,3.5184588,1.82E-05,3.68E-08,0.6361130255,0.6864,0.1969279244,0.3072909574,0.5240686114,0.7735282339,0.5296129749
DP 115,1.6393,8.816,349.66,0.81964958,1.01E-08,7121.6836,1.9375684,1.00E-05,2.02E-08,0.7319587629,0.4394,0.113430127,0.1638536908,0.2262452066,0.2789347217,0.2207810943
DP 116,1.9003,7.635,358.87,0.9501491,2.96E-08,19672.111,5.6712951,2.94E-05,5.92E-08,0.6314266168,0.7004,0.1309757695,0.496525856,0.2888277314,0.8015618742,0.5236821023
DP 117,1.9741,7.206,371.61,0.98705002,3.60E-08,23777.264,6.8860057,3.57E-05,7.19E-08,0.6078212856,0.7742,0.1387732445,0.6053404879,0.3166400886,0.949339207,0.6175355285
DP 118,1.9982,5.904,339.53,0.99909952,2.72E-08,18196.568,5.2067404,2.70E-05,5.44E-08,0.6004904414,0.7983,0.1693766938,0.4574138745,0.42579774,0.9975971165,0.6206668812
